path,line,category,reason,model_family,model_version,task,language,person,major,spec_id
data\results_midstream\deepseek\deepseek-v31\s1_major\combo11\standard.jsonl,10,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),DeepSeek-V3.1 via SiliconFlow,deepseek-deepseek-v31,s1_major,,,,
data\results_midstream\deepseek\deepseek-v31\s1_major\combo16\standard.jsonl,9,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),DeepSeek-V3.1 via SiliconFlow,deepseek-deepseek-v31,s1_major,,,,
data\results_midstream\deepseek\deepseek-v31\s1_major\combo28\standard.jsonl,3,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),DeepSeek-V3.1 via SiliconFlow,deepseek-deepseek-v31,s1_major,,,,
data\results_midstream\deepseek\deepseek-v31\s1_major\combo31\standard.jsonl,9,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),DeepSeek-V3.1 via SiliconFlow,deepseek-deepseek-v31,s1_major,,,,
data\results_midstream\deepseek\deepseek-v31\s2_course\combo17\standard.jsonl,7,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),DeepSeek-V3.1 via SiliconFlow,deepseek-deepseek-v31,s2_course,,,,
data\results_midstream\deepseek\deepseek-v31\s2_course\combo34\standard.jsonl,7,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),DeepSeek-V3.1 via SiliconFlow,deepseek-deepseek-v31,s2_course,,,,
data\results_midstream\deepseek\deepseek-v31\s2_course\combo35\standard.jsonl,9,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),DeepSeek-V3.1 via SiliconFlow,deepseek-deepseek-v31,s2_course,,,,
data\results_midstream\deepseek\deepseek-v31\s2_course\combo36\standard.jsonl,10,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),DeepSeek-V3.1 via SiliconFlow,deepseek-deepseek-v31,s2_course,,,,
data\results_midstream\deepseek\deepseek-v31\s3_performance\combo12\standard.jsonl,5,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),DeepSeek-V3.1 via SiliconFlow,deepseek-deepseek-v31,s3_performance,,,,
data\results_midstream\deepseek\deepseek-v31\s4_presentation\combo09\standard.jsonl,10,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),DeepSeek-V3.1 via SiliconFlow,deepseek-deepseek-v31,s4_presentation,,,,
data\results_midstream\deepseek\deepseek-v31\s4_presentation\combo14\standard.jsonl,6,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),DeepSeek-V3.1 via SiliconFlow,deepseek-deepseek-v31,s4_presentation,,,,
data\results_midstream\deepseek\deepseek-v31\s4_presentation\combo23\standard.jsonl,5,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),DeepSeek-V3.1 via SiliconFlow,deepseek-deepseek-v31,s4_presentation,,,,
data\results_midstream\deepseek\deepseek-v31\s5_competition\combo08\standard.jsonl,3,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),DeepSeek-V3.1 via SiliconFlow,deepseek-deepseek-v31,s5_competition,,,,
data\results_midstream\kimi\kimi-k2-0905\s1_major\combo16\standard.jsonl,8,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s1_major,,,,
