task,language,model,token,count_m,count_f,total_m,total_f,vocab_size,alpha,p_m,p_f,log_or,label,is_term,male_docs,female_docs
downstream,en,Claude Opus 4.5 (n1n.ai),civic,5,2,4332,4301,532,1.0,0.0012335526315789473,0.0006207324643078833,0.6867534287590263,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),overall,5,2,4332,4301,532,1.0,0.0012335526315789473,0.0006207324643078833,0.6867534287590263,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),approachable,2,8,4332,4301,532,1.0,0.0006167763157894736,0.00186219739292365,-1.1050060404690287,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),preliminary,9,5,4332,4301,532,1.0,0.002055921052631579,0.0012414649286157666,0.5044318719650718,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),organizational,7,3,4332,4301,532,1.0,0.001644736842105263,0.0008276432857438444,0.6867534287590265,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),departmental,10,9,4332,4301,532,1.0,0.002261513157894737,0.002069108214359611,0.08891642800340617,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),advanced,74,73,4332,4301,532,1.0,0.015419407894736841,0.015311400786261121,0.0070292685312217575,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),excessive,6,10,4332,4301,532,1.0,0.0014391447368421052,0.002276019035795572,-0.4583788755439761,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),commendable,9,3,4332,4301,532,1.0,0.002055921052631579,0.0008276432857438444,0.9098969800732363,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),ethnographic,2,3,4332,4301,532,1.0,0.0006167763157894736,0.0008276432857438444,-0.29407582425269985,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),oral,16,16,4332,4301,532,1.0,0.0034950657894736842,0.0035174839644113386,-0.006393751800918824,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),calm,7,2,4332,4301,532,1.0,0.001644736842105263,0.0006207324643078833,0.9744355012108074,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),linguistic,5,5,4332,4301,532,1.0,0.0012335526315789473,0.0012414649286157666,-0.006393751800918936,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),literary,43,36,4332,4301,532,1.0,0.009046052631578948,0.007655700393130561,0.16687796947311787,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),balanced,36,41,4332,4301,532,1.0,0.007606907894736842,0.008690254500310366,-0.13314545744006265,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),punctual,4,1,4332,4301,532,1.0,0.0010279605263157894,0.0004138216428719222,0.9098969800732363,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),practical,20,21,4332,4301,532,1.0,0.004317434210526316,0.004552038071591144,-0.05291376743581157,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),minimal,1,7,4332,4301,532,1.0,0.00041118421052631577,0.0016552865714876887,-1.3926881129208095,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),accomplished,5,5,4332,4301,532,1.0,0.0012335526315789473,0.0012414649286157666,-0.006393751800918936,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),cultural,3,10,4332,4301,532,1.0,0.0008223684210526315,0.002276019035795572,-1.0179946634793988,female_biased,False,40,40
