task,language,model,side,rank,token,log_or,count_m,count_f,is_term
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,1,clean,1.785365717427136,5,0,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,2,suited,1.3799006093189718,7,1,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,3,methodical,1.3799006093189718,7,1,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,4,cautious,1.0922185368671908,5,1,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,5,empirical,1.0922185368671908,8,2,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,6,individual,1.0922185368671908,8,2,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,7,calm,0.9744355012108074,7,2,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,8,upper,0.9744355012108074,7,2,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,9,outspoken,0.9744355012108074,7,2,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,10,notable,0.9491176932265175,12,4,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,11,commendable,0.9098969800732363,9,3,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,12,punctual,0.9098969800732363,4,1,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,13,iterative,0.9098969800732363,4,1,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,14,further,0.9098969800732363,9,3,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,15,functional,0.9098969800732363,4,1,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,16,outgoing,0.9098969800732363,4,1,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,17,western,0.9098969800732363,4,1,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,18,prepared,0.8409041085862847,6,2,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,19,partial,0.8045364644154098,8,3,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,20,organizational,0.6867534287590265,7,3,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,21,abstract,0.6867534287590265,19,9,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,22,hesitant,0.6867534287590265,7,3,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,23,civic,0.6867534287590263,5,2,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,24,overall,0.6867534287590263,5,2,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,25,supplementary,0.6867534287590263,5,2,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,26,tight,0.6867534287590263,5,2,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,27,adequate,0.6867534287590263,5,2,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,28,mature,0.6867534287590263,13,6,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,29,beneficial,0.6867534287590263,5,2,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,30,ambitious,0.6867534287590263,5,2,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,31,mere,0.6867534287590263,11,5,False
downstream,en,Claude Opus 4.5 (n1n.ai),male_top,32,foundational,0.6867534287590263,5,2,False
