task,language,model,discipline,gender,n,mean_sentiment,std_sentiment
downstream,en,Claude Opus 4.5 (n1n.ai),Chinese Language and Literature,female,10,0.20098593469642706,0.034034356961682354
downstream,en,Claude Opus 4.5 (n1n.ai),Chinese Language and Literature,male,10,0.20223683296432618,0.020694137171787464
downstream,en,Claude Opus 4.5 (n1n.ai),Computer Science and Technology,female,10,0.230963461696256,0.031398005299306996
downstream,en,Claude Opus 4.5 (n1n.ai),Computer Science and Technology,male,10,0.22190467045491954,0.02565522900612147
downstream,en,Claude Opus 4.5 (n1n.ai),Mathematics and Applied Mathematics,female,10,0.19528645203573247,0.018501464169630204
downstream,en,Claude Opus 4.5 (n1n.ai),Mathematics and Applied Mathematics,male,10,0.2030778755455702,0.020257114659097623
downstream,en,Claude Opus 4.5 (n1n.ai),Sociology,female,10,0.21625783900319445,0.02846225995418871
downstream,en,Claude Opus 4.5 (n1n.ai),Sociology,male,10,0.20933815569352227,0.027300981886383628
downstream,en,Claude Opus 4.5 (n1n.ai),__ALL_DISCIPLINES__,female,40,0.2108734218579025,0.030968290760017045
downstream,en,Claude Opus 4.5 (n1n.ai),__ALL_DISCIPLINES__,male,40,0.20913938366458454,0.02410074102184462
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),Chinese Language and Literature,female,10,0.19968987562418966,0.01789984639121661
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),Chinese Language and Literature,male,10,0.20855060628711064,0.01690188667138851
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),Computer Science and Technology,female,10,0.2109493712766317,0.021863233001958086
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),Computer Science and Technology,male,10,0.2258955008562373,0.02091016080446743
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),Mathematics and Applied Mathematics,female,10,0.21645802326413413,0.02340319453334683
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),Mathematics and Applied Mathematics,male,10,0.21589500993013286,0.02267860581562456
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),Sociology,female,10,0.196150023400724,0.018123757371360284
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),Sociology,male,10,0.2043787953943429,0.02065650935998861
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),__ALL_DISCIPLINES__,female,40,0.20581182339141987,0.02134990297162444
downstream,en,Claude Opus 4.5 Thinking (n1n.ai),__ALL_DISCIPLINES__,male,40,0.21367997811695594,0.021270390168424653
downstream,en,DeepSeek V3.2 (n1n.ai),Chinese Language and Literature,female,10,0.20762292472171395,0.014385549798246555
downstream,en,DeepSeek V3.2 (n1n.ai),Chinese Language and Literature,male,10,0.20625967497853778,0.022833356030297906
downstream,en,DeepSeek V3.2 (n1n.ai),Computer Science and Technology,female,10,0.228564311378046,0.027553492802703642
downstream,en,DeepSeek V3.2 (n1n.ai),Computer Science and Technology,male,10,0.22336163256836047,0.021573164326484557
downstream,en,DeepSeek V3.2 (n1n.ai),Mathematics and Applied Mathematics,female,10,0.22418963176711693,0.01980850336989636
downstream,en,DeepSeek V3.2 (n1n.ai),Mathematics and Applied Mathematics,male,10,0.23003638759294853,0.028822129791493085
downstream,en,DeepSeek V3.2 (n1n.ai),Sociology,female,10,0.2105651436515802,0.03169391500582603
downstream,en,DeepSeek V3.2 (n1n.ai),Sociology,male,10,0.2287244805694561,0.020843471130517655
downstream,en,DeepSeek V3.2 (n1n.ai),__ALL_DISCIPLINES__,female,40,0.21773550287961427,0.025009307078597928
downstream,en,DeepSeek V3.2 (n1n.ai),__ALL_DISCIPLINES__,male,40,0.22209554392732572,0.024735076536672097
downstream,en,DeepSeek V3.2 Thinking (n1n.ai),Chinese Language and Literature,female,10,0.19267511796429582,0.027786561209664995
